"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Exportaciones de bienes y servicios (% del PIB)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.8984771573604","86.6396761133603","82.5309992706054","79.6377054679638","79.928664072633","74.4109752460483","70.9867452135493","64.5501138952164","62.7220552063405","64.6679881070367","68.0871212121212","64.6007690567745","65.0532025871062","65.5335036352918","62.9183985998687","60.2231329690346","69.7373994070309","73.1040375988037","76.5513004300635","78.2626100880705","72.8506787330317","71.8217562254259","72.5564588979223","73.7962316817865","74.5822784810127","56.5450883866637","",
"","AFE","Exportaciones de bienes y servicios (% del PIB)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","29.0896589080155","24.0917282526566","21.805124597299","21.3200461286887","21.96999472738","24.0391974191953","24.5466261671094","25.1501865796115","24.1081857104834","22.3969357852913","20.6132732504478","18.756535639698","21.8347806147642","23.0878299078331","24.1234690793193","24.793924683242","25.9519845725261","25.1409253427701","25.2306191807865","25.1582253893049","25.9919257067459","27.1499892841361","28.3761300977556","26.1142426692614","26.188572926147","28.0160469298155","29.9396218551486","32.2687861051317","35.8283446110169","27.9329652780628","29.6178089418382","31.295595237808","29.6894438528732","28.9322309888446","27.5175067295693","22.8894251111292","21.8672466009689","21.3164032941791","25.1050529051413","23.6244757622598","22.3182621808478","25.3497635685754",
"Afganistán","AFG","Exportaciones de bienes y servicios (% del PIB)","NE.EXP.GNFS.ZS","4.13223321494422","4.45344326574765","4.87805112036481","9.171601094149","8.88889256172819","11.2582791310323","8.57142877551021","6.77290842314672","8.89967664482985","10.0946369851427","9.78400228346932","10.922342255116","14.7632312416105","12.9487180787311","14.0206189325114","12.6760568934735","13.2173912468809","11.6629043316852","10.8417502819894","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFW","Exportaciones de bienes y servicios (% del PIB)","NE.EXP.GNFS.ZS","16.7638159777194","17.2199862935458","16.3463444325759","16.4555343755081","17.536982716444","17.9440400542173","17.3813101014907","18.6003744507328","19.7478074561852","20.0511714377801","17.1132091596895","19.1246994142956","19.2421885736825","22.3971806572377","30.4630342417807","24.468493889587","24.6040965999089","29.6358085214292","25.6553706223414","28.5492319003317","32.6673147873375","13.9706366513245","12.8907490652187","13.6536049956593","17.0446683266936","17.8432334501328","16.5566664785291","20.2517814096886","18.9705369786373","27.3829043928849","25.4197351309746","26.1078345554075","25.7490753574661","23.3876019863194","25.3778561454604","30.0718970239842","28.8343976229145","31.6215171545302","25.1309710372062","26.5412556516511","36.2295274365998","30.8037349458764","28.0286751742354","29.3827308925368","26.3411985908529","27.0827412582276","31.6641872804042","26.5743558118128","29.9385106857456","24.2602650147214","29.4943055741684","34.2499660847639","34.0343807324017","23.6668947265592","23.4413807279785","17.4592555213721","16.8793676833733","20.8168306006053","22.5120135372712","21.6003416408503","","",
"Angola","AGO","Exportaciones de bienes y servicios (% del PIB)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.6858311851382","75.38894373114","57.0849959046266","54.3213388113835","58.3803583199793","65.5262677696291","63.4678635039226","67.9057833724671","72.4750287994632","58.7573002977584","61.5431158851524","60.6699475151848","55.9401306344811","50.7470857909554","44.6950294609853","29.7545979506807","28.1244854472006","29.0041020030504","40.8362898299819","40.7907550532833","37.911272976472","37.8723469310751",
"Albania","ALB","Exportaciones de bienes y servicios (% del PIB)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.9574919106695","23.8105066597225","20.0729179060642","18.8520751406844","18.0403314265347","16.8203725696072","15.6061801305352","16.0299218388153","16.9793941336596","18.5933534612466","15.4050638293415","7.48481872467814","12.4995914932505","15.9788298133865","11.983694347693","12.6408294970517","11.620333234637","10.1971272832635","11.4671662578473","16.8417629634305","20.1152855452625","21.3334108322137","20.9456161731319","20.8473864531722","22.2175607600291","23.0129911473171","25.2096077274316","28.2478654166425","25.3024181160681","25.2407486083138","27.9794352415409","29.2415371390963","28.9374877608303","28.9163151372576","28.2130014584625","27.2673911512668","28.9778991754721","31.5698080476189","31.5719272134517","31.3042701298034","22.7039815429045","30.6161823962294",
"Andorra","AND","Exportaciones de bienes y servicios (% del PIB)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Exportaciones de bienes y servicios (% del PIB)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.3667338669322","39.7851554256053","42.3207638959806","47.5490034573452","51.9221437089269","53.2869635578321","53.2371065837785","56.0164795426041","45.453056602506","47.9482880086241","53.4942306153746","55.0090746368642","53.2693175718966","49.3706392766464","41.3401869903012","38.1592412220848","42.1914315896755","46.2702677026598","44.4576513605621","37.5411583356888","",
"Emiratos Árabes Unidos","ARE","Exportaciones de bienes y servicios (% del PIB)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1592253276122","49.5033473840813","55.9231992151745","63.5677298138648","67.5853113898841","68.6277976715135","72.3840975003088","78.86788870154","79.6533178621862","82.2423856432093","90.0765642448085","100.246481691224","100.547795528823","99.5608037347127","100.870512186829","101.002988081357","99.5949384086332","93.0481227978656","96.8435334637251","93.4150890561076","",
"Argentina","ARG","Exportaciones de bienes y servicios (% del PIB)","NE.EXP.GNFS.ZS","7.60404910831426","5.99494699481463","4.69184275902032","7.89045420226123","5.56371560450689","6.22587443768088","6.65291738361061","7.4955962262493","6.48445346278216","6.39871331653575","5.601566676004","6.00723288129249","7.19776583908352","7.61266772119213","6.90257079761096","5.82405179865079","9.17538829640174","9.61589241271337","8.60838993811478","6.5109154667574","5.06197268111515","6.92104948030999","9.09049307859513","9.15152068682072","7.5898953117888","11.7360980207352","8.16197754429543","7.87320581340031","9.53161297293404","13.0584089085641","10.3595365925264","7.67504334832217","6.5981874720374","6.90935153370832","7.52994872591672","9.68041025959015","10.4285967560139","10.5608501019262","10.4155819610919","9.82717451494235","10.9863752325576","11.5790080825317","28.3825969991682","25.9309429264224","23.8476194239892","23.2458767338576","23.0266946038115","22.6627503115066","22.0609003826242","19.5609850560818","18.9338234053709","18.4492091453155","16.2378594620246","14.6171733884386","14.4054785893756","10.7056520504538","12.5270951690009","11.3202833596733","14.4366857499034","17.6959440658721","16.5918166322906","18.3008985890875",
