"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Servicios de transporte (% de las exportaciones de servicios comerciales)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","2.97459710461623","2.62610269169871","2.79592929833958","3.64101717305151","3.33146382501402","8.66522105770388","12.3895220955809","12.5978343465046","18.0838876570585","7.81291759465478","8.64720303097839","6.16083916083917","7.19424460431654","8.67809165466356","5.32105635362272","2.8562889196326","2.95680017768566","2.43786940736973","4.29300794951314","4.3858734635876","4.15012588272671","3.91568582198631","3.62727144668264","4.05842961218633","3.35864063629789","3.91965875121755","3.45248026695759","3.98198522463426","5.60397690241523","5.53163718719139","5.66091233115809","6.07779758947547","5.93313584184653","5.15346978672591","3.89853632614699","3.72384006998594",
"","AFE","Servicios de transporte (% de las exportaciones de servicios comerciales)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","33.9854421040889","35.9274665418336","34.3918879918031","31.6632239021279","32.1643427130987","30.5538274834483","30.0869962875688","32.0643814993899","31.6170265121955","29.4870251664858","30.8876684498297","30.365217198997","32.2560472170824","31.2457503125621","33.8155938024702","30.1491528636899","25.8097982701764","27.1206070761344","26.4609782573524","26.6195267978717","29.395169248529","25.3759793696454","22.2625946365921","22.3642281912694","21.1115895837383","17.892003866333","16.9723304148311","16.4309161527832","15.4013781400778","16.6486053794908","16.7722005642545","16.2762586024068","18.4169943435925","18.7175470406843","17.3578446624799","19.0466443497553","18.2803825120444","18.4034236029671","17.5414770058453","17.2789616923838","15.7252111139796","16.4606456497582","20.1058731930777","14.2217558454714",
"Afganistán","AFG","Servicios de transporte (% de las exportaciones de servicios comerciales)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7028691542629","6.98269127405603","9.50446261512288","10.4737684858299","14.2106642230479","31.4311287147732","15.4323635502381","12.1298032728937","22.7059633676083","32.7584487100667","29.1678506634735","21.1209671064316","14.4905102325761","",
"","AFW","Servicios de transporte (% de las exportaciones de servicios comerciales)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","46.7619795913365","55.1092022667581","61.1705528566718","63.9538234291638","51.0536059192994","55.3152272239062","57.975333852803","57.9135821975419","65.9040729270174","38.2453581451041","30.0885939673006","39.286812076387","18.7324445591075","19.8429485744358","24.9579821797054","24.6842945354278","27.0878304092894","26.9953645130803","29.3638172568807","22.352810751268","25.8323640885676","18.6330048784055","19.175469674305","19.3089003696736","18.5646056345414","15.6135244764956","16.7822767768572","22.298419429546","54.8919879481185","54.7768944669571","48.4103635605591","43.1879255532769","41.4694625637137","47.4644889817291","42.6672434766346","42.1641472278114","37.7516124327239","35.5216666087884","41.2280425854397","39.0771372066671","24.6047067184244","26.2930336956449","33.9968688523684","43.5987900183272","",
"Angola","AGO","Servicios de transporte (% de las exportaciones de servicios comerciales)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.7616099071207","41.3526405451448","51.4819641806104","40.5493273542601","21.4314247669774","31.7863397548161","36.0618577696316","32.3661036523748","45.3911187720594","30.722970322918","6.02738700987728","6.64691358024691","8.11019997063025","7.86263843956189","5.48086656740062","10.2243540630909","1.36094251004142","5.38943260590782","4.39309993465962","5.1354815710541","4.98411137076977","3.60095013046973","2.73931670621027","1.87485159757","1.49805915759511","2.01387447558042","4.59060000389858","2.34738977127613","4.42111029265391","7.00377383311152","12.7326828885444","17.0678498078524",
"Albania","ALB","Servicios de transporte (% de las exportaciones de servicios comerciales)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","42.1100917431193","42.75","42.2727272727273","40.8461538461538","42.0779220779221","49.2","38.25","30.6726457399103","22.1959459459459","19.7014925373134","20","17.6086956521739","15.8730158730159","11.9808743169399","14.7328244274809","19.4888178913738","24.6742671009772","-381.366459627329","39.9019307385841","5.57528409090909","3.99727458550988","3.08205732234001","3.46152445464147","9.57129496666608","8.99210222031913","10.052987617344","10.070056796143","7.60870453175085","8.11210007303269","10.1501711304809","9.85588223642918","11.538905030997","11.5543929302372","11.292314771975","7.8526745575478","7.92992678226188","7.75447786516459","8.39777719670167","8.55416010966655","7.27872854850885","8.23910495918696","9.68178372004619",
"Andorra","AND","Servicios de transporte (% de las exportaciones de servicios comerciales)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.76223109678862","1.45636489794513","",
"El mundo árabe","ARB","Servicios de transporte (% de las exportaciones de servicios comerciales)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Servicios de transporte (% de las exportaciones de servicios comerciales)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Servicios de transporte (% de las exportaciones de servicios comerciales)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","47.5319926873857","56.6451612903226","52.4916943521595","55.8550185873606","56.4120532585844","55.9010152284264","46.8605419695968","53.3807829181495","57.0738440303658","55.4721701063164","48.3976455199477","50.317735413056","50.9503695881732","48.4659635666347","51.0600706713781","54.5538178472861","39.5904436860068","30.1754313003819","28.4285983776646","27.9547005048438","25.9744263928743","26.2166534092246","24.9618215414142","24.377112100951","24.9139136782316","21.4283147490311","23.5455684122629","22.2313592670541","23.1897260732177","20.5650456813577","18.4947858175586","17.298654487231","15.3874114803963","14.6663877360676","15.6519301546612","15.0144172409507","16.4020358889354","18.620303527883","18.618402952882","17.9137339705842","15.272060029277","12.6149622100984","12.7996427786879","13.0968577039323","13.898354331613","18.656815786951",
