Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bermudas,BMU,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,50.79499274,52.53924198,50.51254369,51.61319109,51.16124321,49.97083946,49.33005658,48.53814925,51.25812053,50.64927227,49.58621914,49.17030321
Bolivia,BOL,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,41.18745614,44.09170185,47.16619662,44.09247953,43.29308799,30.86829603,24.48800554,24.90414437,25.98879506,24.96726228,20.27258979,27.82390202
Brasil,BRA,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,10.86558477,11.58251268,11.87753907,11.74223064,11.01194282,12.90019142,12.46667904,12.51896787,14.63499949,14.12291919,16.79506843,20.09727521
Barbados,BRB,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,38.9255609,37.93181622,39.28768513,40.92577252,40.01516634,40.05118969,36.53550608,35.75309352,35.52436697,36.6201692,29.62840954,
Brunei Darussalam,BRN,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,67.40746923,69.50607218,70.16126866,68.04187464,68.17708045,52.21059737,49.57690627,49.5732417,51.93227638,57.94604054,57.35611139,80.16891086
Bhután,BTN,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,43.48069242,42.20491528,39.64735231,41.43022537,37.45195066,34.4356494,29.61697448,30.08318938,30.81770601,33.93906381,29.78885292,
Botswana,BWA,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,43.63546396,49.95053461,49.2507438,61.52263966,60.56029912,52.90317233,54.61135081,42.96473613,44.53578693,37.15431087,31.35372093,
República Centroafricana,CAF,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,11.62580107,13.1278201,11.550133,14.97295479,16.67578759,17.06766062,14.82187966,17.25977376,15.94003,15.75538,15.17248,14.18648
Canadá,CAN,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,29.16738193,30.67839192,30.35302552,30.33193867,31.73657587,31.84996096,31.50257241,31.45441015,32.28018242,31.90853262,29.36344802,30.6905379
Europa Central y del Báltico,CEB,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,52.22448595,56.82464879,59.04063159,60.23030986,61.53988504,62.01273444,63.00205393,64.38023996,64.29740702,63.09791081,60.66327862,65.21518009
Suiza,CHE,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,64.39853517,65.8992879,67.406452,71.38153933,63.80969914,62.39676988,65.67369307,65.07978297,66.15565527,65.53170428,62.34201861,69.94471664
Islas del Canal,CHI,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,,,,,
Chile,CHL,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,37.90399432,37.68978027,33.8455905,32.08746359,33.00390297,29.19107949,27.92315811,28.33137683,28.52904474,27.83413159,31.53353445,31.89080305
China,CHN,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,27.18533272,26.56818935,25.49252222,24.59925444,23.51006091,21.35407988,19.58438005,19.69227699,19.11210354,18.40999232,18.54106001,20.00981407
Côte d'Ivoire,CIV,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,33.49957459,35.28137635,34.9824904,29.16040266,28.15695877,27.35560794,24.59506751,24.92012188,22.64068269,23.77627756,21.55155517,26.00982166
Camerún,CMR,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,22.3688903,24.22968662,23.87672384,23.63910867,23.60997553,20.98914963,18.94997876,18.35109858,18.73625347,19.85009075,15.03506913,17.76674028
"Congo, República Democrática del",COD,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,41.11115415,39.51561667,30.80300902,36.44586131,36.83218885,27.58332432,32.78786028,30.69015456,33.80735018,25.7562387,28.60458745,40.12576343
"Congo, República del",COG,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,68.52809153,73.61173274,58.08202782,52.93434058,53.15266193,42.728167,44.99946349,58.06454759,71.02956895,73.79228775,,
Colombia,COL,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,16.34084476,19.27650507,18.81120528,18.08643972,16.63474911,15.65021151,14.71713928,15.14528975,15.89971968,15.86803865,13.49088182,16.31146477
Comoras,COM,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,9.638904635,9.956415447,8.945869239,9.048387214,9.676472177,10.13619831,10.67289558,11.90131645,12.90902299,12.77346063,5.627251498,6.609135851
Cabo Verde,CPV,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,32.67031806,35.51923974,40.43180426,40.49244284,40.36113969,44.90744231,44.229689,45.92281296,48.95264437,50.64929202,24.85098202,24.61632547
Costa Rica,CRI,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,32.82941135,32.47247088,31.65131734,30.59164936,31.36291528,29.99565786,31.2600963,32.76268315,33.73851078,34.32532156,31.53539441,36.13156078
Estados pequeos del Caribe,CSS,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,,,,,
Cuba,CUB,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,22.57026489,25.10363821,25.5109993,24.10043034,22.08391192,17.14734945,14.98303601,14.55121785,14.52273863,12.21332715,8.168455175,
Curacao,CUW,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,55.53953322,73.576748,78.3520198,71.40494349,74.84743526,64.76636372,59.3988585,,,,,
Islas Caimán,CYM,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,74.02181724,71.58784905,69.45374344,60.12874668,
Chipre,CYP,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,50.37974806,53.49515905,55.31225938,61.36031258,66.02714685,70.1016984,70.53893585,73.93973958,75.07380186,75.59384876,75.78051183,81.00455269
República Checa,CZE,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,65.54300541,70.82186719,75.64618657,76.05838162,81.95427457,80.55877811,79.10707663,79.0271395,76.95916475,73.89445332,70.99199615,72.57902452
Alemania,DEU,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,42.56547341,45.05713628,46.30712014,45.41867786,45.61926331,46.92073836,46.07326285,47.16304068,47.30104577,46.62423885,43.41689532,47.45906873
Djibouti,DJI,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,156.5383009,158.3743113,145.4213075,103.7640251,150.0983615,156.619875,166.7177464,115.7748182,
Dominica,DMA,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,35.56808892,37.57771092,32.58522013,38.82562807,52.43706214,47.32429674,44.63112699,40.87587612,29.19325981,,,
Dinamarca,DNK,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,50.52292764,53.82014893,54.63049402,54.82881899,54.61313944,55.4181744,53.42598052,55.07737678,56.55980449,58.99933497,54.88154109,59.56609883
República Dominicana,DOM,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,22.67575221,24.18697531,24.58317787,25.16715873,25.15139056,23.7615823,23.90937952,23.68214534,23.55143131,23.06928204,18.29569716,21.75270208
Argelia,DZA,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,38.44454735,38.78811864,36.89054781,33.20989789,30.48765721,23.17177801,20.87248521,22.63223229,25.86115082,22.71346191,18.00117495,25.02665839
Asia oriental y el Pacífico (excluido altos ingresos),EAP,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,31.89349986,31.32369777,29.76048716,28.6243768,27.50815538,25.01811384,23.21833571,23.50789261,22.97218082,21.94996826,21.32480927,23.05906246
inicial del dividendo demográfico,EAR,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,27.63098484,29.0801072,28.63273588,28.14957965,26.48025603,23.58215221,22.70390799,23.6682495,25.90529841,24.96822683,22.76154275,25.6887107
Asia oriental y el Pacífico,EAS,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,32.53638839,33.00838898,32.15714541,32.65273624,32.48882433,30.28124768,28.12336548,29.071069,28.95310385,27.674142,26.31048678,29.04124668
Europa y Asia central (excluido altos ingresos),ECA,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,30.02807232,31.07622821,30.40818537,28.848378,29.86926147,29.56389933,27.89995503,29.58808017,34.14374945,32.92826757,29.36023234,35.15428124
Europa y Asia central,ECS,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,38.03369326,40.42842953,40.99316645,40.85859308,41.15278621,41.95789134,41.98298326,43.54998705,44.98310748,44.85376754,42.20630665,45.79239605
Ecuador,ECU,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,27.89495597,31.1211998,30.16480927,28.6382883,28.05185415,21.25822138,19.50479127,20.83281789,22.60468399,23.0483673,21.8579266,26.18836454
"Egipto, República Árabe de",EGY,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,21.34924581,20.56742761,16.39696662,17.01784562,14.24413146,13.18384549,10.34546394,15.8184438,18.91197548,17.50061066,13.10674637,11.09761867
Zona del Euro,EMU,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,39.15241461,42.02109456,43.69069012,43.87141403,44.50140847,46.00615134,45.52029344,47.20290741,48.03404645,48.11405967,45.39293116,49.53096774
Eritrea,ERI,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,6.378376598,18.15483726,,,,,,,,,,
España,ESP,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,25.95167935,29.5349622,31.45527248,32.96257747,33.48256759,33.62651843,33.8800905,35.14946203,35.16258761,34.95465595,30.62093787,34.92033197
Estonia,EST,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,75.04931619,86.60379142,86.20779227,84.5681702,81.86543288,77.43549844,77.00753774,75.8098541,74.469197,74.04658613,71.17581864,80.52432984
Etiopía,ETH,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,16.6868532,13.7672982,12.48407356,11.64161991,9.363313597,7.812080503,7.629368622,8.372675866,7.939976609,7.127200943,7.592838243
Unión Europea,EUU,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,40.32278249,43.21474273,44.80385829,44.9643061,45.69023036,47.10974362,46.69034391,48.36031039,49.20306,49.34439975,46.65899551,50.7392085
Frágiles y situaciones de conflicto afectados,FCS,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,31.93719052,32.27806655,31.93703236,26.43337229,22.55573749,17.72282823,16.22930622,19.42710604,25.25973556,23.66290594,19.22596262,
Finlandia,FIN,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,38.41439756,38.90039293,38.80827907,38.01762912,36.48143762,35.40695887,34.81045247,37.54954684,38.46779858,39.88167703,35.75873443,38.932686
Fiji,FJI,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,57.43440206,59.28032113,61.11255026,56.87384694,52.33427559,48.83675558,46.64667493,45.98430327,47.91308923,48.13164171,26.95799865,25.1103204
Francia,FRA,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,26.78829984,28.42133748,29.20302719,29.36473787,29.6666845,30.59262238,30.24753718,30.94863319,31.71366721,31.59205541,27.87364408,29.94750396
Islas Feroe,FRO,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,46.91622704,52.57281698,52.8383374,55.70844279,53.6511368,53.4675122,54.70010328,56.55794552,52.9597777,55.72950113,47.88200946,
Micronesia (Estados Federados de),FSM,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,23.69035115,24.71426424,29.88778871,30.39742206,31.82842674,27.06500271,27.65420513,29.96096183,35.47473045,31.44399352,24.02360087,24.19725664
Gabón,GAB,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,57.66349238,61.74437213,60.95034144,57.35740588,44.52089239,46.0320085,44.03534729,50.22675397,54.29907649,51.43107323,47.73011656,53.20207953
Reino Unido,GBR,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,28.18995221,30.71382065,29.93688112,29.77389015,28.10983273,27.18477355,28.22078132,30.04568596,30.50639723,31.00497809,28.36227627,26.99004857
Georgia,GEO,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,32.95450379,34.68779804,36.51629063,41.7219539,39.93445573,40.86223663,40.79975444,46.52761423,50.55852769,54.81849314,37.29149486,43.08364126
Ghana,GHA,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,29.47671798,36.93660855,40.35921817,25.4407834,28.23190177,33.83170499,31.19323949,33.87687443,33.45489588,37.44959942,20.7210461,29.90761972
Gibraltar,GIB,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,,,,,
Guinea,GIN,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,30.34120398,32.60224123,33.1373916,26.47062065,26.68851014,21.49687039,29.37151131,44.66029845,40.20709553,30.11903041,58.80905909,53.35217673
Gambia,GMB,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,14.66781488,16.85940447,19.84168223,18.97916437,21.83689544,19.59633316,15.91151182,16.78945539,21.7264295,18.84139797,8.16381523,9.618674915
