Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bolivia,BOL,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,34.32417011,38.38869357,37.78256454,37.138428,41.97138157,37.06454916,31.91302896,31.80050839,31.12116955,31.43004444,25.23067283,31.19443185
Brasil,BRA,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,11.90659334,12.3518925,13.23673454,14.04372668,13.673463,14.05343452,12.06700304,11.8007665,14.24120388,14.76733868,16.09538367,19.07884694
Barbados,BRB,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,47.99744841,48.6602886,47.93826422,51.27266814,49.74826865,47.29140743,42.1102645,40.69336902,39.93892265,38.11437565,36.65707013,
Brunei Darussalam,BRN,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,27.96147673,30.03046818,35.47975532,42.8950042,34.24388837,37.68319271,37.74136081,35.60350735,41.96404349,50.56361782,52.93489227,66.9542018
Bhután,BTN,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,72.44380369,72.1959181,64.53948951,63.76908105,58.87366371,63.44530544,53.79191055,51.12354999,53.36930561,48.18954167,46.45185119,
Botswana,BWA,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,51.26433138,53.59504327,61.40415121,61.03094241,57.52822774,59.59849992,45.85331794,39.04453261,43.52764493,46.08761458,46.46697681,
República Centroafricana,CAF,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,22.80468088,21.34779823,21.50931559,23.42633278,36.41930443,36.07748715,35.70876436,39.88377195,33.72017,34.31042,34.34854,30.49905
Canadá,CAN,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,31.04073957,31.82034685,32.24252342,31.89913623,32.64208628,34.3149411,33.86111211,33.6466507,34.16753441,33.50382946,31.41908242,30.53513983
Europa Central y del Báltico,CEB,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,53.07146632,57.27530701,58.43255693,57.9138347,59.20457262,58.97254711,59.02163549,60.83864066,61.82900792,60.22513769,57.1223315,63.78514092
Suiza,CHE,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,53.48495891,57.19505374,56.66373076,59.51009747,52.48105578,50.72548459,54.05447335,54.19025424,53.82097988,53.68383217,53.54738111,55.1615647
Islas del Canal,CHI,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,,,,,,,,,,,,
Chile,CHL,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,31.81368582,34.79186253,34.31055239,33.05582436,32.63072516,30.15803099,28.13470298,27.69478213,29.64800589,29.69384226,26.97062537,32.5414357
China,CHN,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,23.53174494,24.17271524,22.77500014,22.14512114,21.39515505,18.11008945,17.31003496,17.94013625,18.45368057,17.48010372,16.04818951,17.42196859
Côte d'Ivoire,CIV,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,33.97336549,29.43452671,35.31859892,29.1922766,25.5234588,25.36017485,22.92053504,23.62065644,23.42680369,22.62463689,20.46377906,25.33890856
Camerún,CMR,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,24.8696951,27.29230098,26.15928888,26.03542768,27.22241377,24.5509972,21.68865277,20.84792302,21.85134941,23.5284225,18.22610209,19.62313942
"Congo, República Democrática del",COD,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,49.63645614,45.68252753,37.54870238,41.02008384,41.85796128,33.67102084,38.85977568,34.3930392,37.36598437,29.36018064,29.88675657,39.35409787
"Congo, República del",COG,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,55.53666287,50.98000997,39.36240733,40.06852281,51.08226429,79.96545702,85.77826385,55.16176965,49.00619337,53.16332288,,
Colombia,COL,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,17.92375841,20.19391848,20.02394574,19.90020908,20.85271653,22.71055261,21.48551371,20.13762519,20.63503312,21.69049533,20.4133495,24.26710068
Comoras,COM,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,29.91123233,30.04458014,31.8645497,30.19490806,29.55935102,27.66875376,26.45998414,28.26304247,30.08713035,29.4946179,28.08997077,27.45144413
